Subject,Start Date,Start Time,End Date,End Time,Description,Location
Thuật toán ứng dụng,30/9/2024,9:15,30/9/2024,11:45,IT3170-CT Chuẩn K67-N10| ,B1-402
Thuật toán ứng dụng,14/10/2024,9:15,14/10/2024,11:45,IT3170-CT Chuẩn K67-N10| ,B1-402
Thuật toán ứng dụng,28/10/2024,9:15,28/10/2024,11:45,IT3170-CT Chuẩn K67-N10| ,B1-402
Thuật toán ứng dụng,18/11/2024,9:15,18/11/2024,11:45,IT3170-CT Chuẩn K67-N10| ,B1-402
Thuật toán ứng dụng,2/12/2024,9:15,2/12/2024,11:45,IT3170-CT Chuẩn K67-N10| ,B1-402
Nhập môn công nghệ phần mềm,10/9/2024,14:10,10/9/2024,17:30,KH máy tính - KT máy tính-K67C| ,TC-312
Nhập môn công nghệ phần mềm,17/9/2024,14:10,17/9/2024,17:30,KH máy tính - KT máy tính-K67C| ,TC-312
Nhập môn công nghệ phần mềm,24/9/2024,14:10,24/9/2024,17:30,KH máy tính - KT máy tính-K67C| ,TC-312
Nhập môn công nghệ phần mềm,1/10/2024,14:10,1/10/2024,17:30,KH máy tính - KT máy tính-K67C| ,TC-312
Nhập môn công nghệ phần mềm,8/10/2024,14:10,8/10/2024,17:30,KH máy tính - KT máy tính-K67C| ,TC-312
Nhập môn công nghệ phần mềm,15/10/2024,14:10,15/10/2024,17:30,KH máy tính - KT máy tính-K67C| ,TC-312
Nhập môn công nghệ phần mềm,22/10/2024,14:10,22/10/2024,17:30,KH máy tính - KT máy tính-K67C| ,TC-312
Nhập môn công nghệ phần mềm,29/10/2024,14:10,29/10/2024,17:30,KH máy tính - KT máy tính-K67C| ,TC-312
Nhập môn công nghệ phần mềm,12/11/2024,14:10,12/11/2024,17:30,KH máy tính - KT máy tính-K67C| ,TC-312
Nhập môn công nghệ phần mềm,19/11/2024,14:10,19/11/2024,17:30,KH máy tính - KT máy tính-K67C| ,TC-312
Nhập môn công nghệ phần mềm,26/11/2024,14:10,26/11/2024,17:30,KH máy tính - KT máy tính-K67C| ,TC-312
Nhập môn công nghệ phần mềm,3/12/2024,14:10,3/12/2024,17:30,KH máy tính - KT máy tính-K67C| ,TC-312
Nhập môn công nghệ phần mềm,10/12/2024,14:10,10/12/2024,17:30,KH máy tính - KT máy tính-K67C| ,TC-312
Nhập môn công nghệ phần mềm,17/12/2024,14:10,17/12/2024,17:30,KH máy tính - KT máy tính-K67C| ,TC-312
Nhập môn công nghệ phần mềm,24/12/2024,14:10,24/12/2024,17:30,KH máy tính - KT máy tính-K67C| ,TC-312
Nhập môn công nghệ phần mềm,31/12/2024,14:10,31/12/2024,17:30,KH máy tính - KT máy tính-K67C| ,TC-312
